track_name,price,rating_count_tot,prime_genre
PAC-MAN Premium,3.99,21292,Games
Evernote - stay organized,0,161065,Productivity
"WeatherBug - Local Weather, Radar, Maps, Alerts",0,188583,Weather
"eBay: Best App to Buy, Sell, Save! Online Shopping",0,262241,Shopping
Bible,0,985920,Reference
Shanghai Mahjong,0.99,8253,Games
PayPal - Send and request money safely,0,119487,Finance
Pandora - Music & Radio,0,1126879,Music
PCalc - The Best Calculator,9.99,1117,Utilities
Ms. PAC-MAN,3.99,7885,Games
Solitaire by MobilityWare,4.99,76720,Games
SCRABBLE Premium,7.99,105776,Games
Google – Search made just for mobile,0,479440,Utilities
Bank of America - Mobile Banking,0,119773,Finance
FreeCell,4.99,6340,Games
TripAdvisor Hotels Flights Restaurants,0,56194,Travel
Facebook,0,2974676,Social Networking
"Yelp - Nearby Restaurants, Shopping & Services",0,223885,Travel
"Shazam - Discover music, artists, videos & lyrics",0,402925,Music
Crash Bandicoot Nitro Kart 3D,2.99,31456,Games
iQuran,1.99,2929,Reference
:) Sudoku +,2.99,11447,Games
"Yahoo Sports - Teams, Scores, News & Highlights",0,137951,Sports
Mileage Log | Fahrtenbuch,5.99,8,Business
Cleartune - Chromatic Tuner,3.99,3241,Music
Lifesum – Inspiring healthy lifestyle app,0,5795,Health & Fitness
Hangman.,0,42316,Games
iTranslate - Language Translator & Dictionary,0,123215,Productivity
TouchOSC,4.99,782,Music
RadarScope,9.99,3449,Weather
LinkedIn,0,71856,Social Networking
Period Tracker Deluxe,1.99,13350,Health & Fitness
Election 2016 Map,0.99,137,Entertainment
Blackjack by MobilityWare,0,180087,Games
White Noise,0.99,33426,Health & Fitness
iHeartRadio – Free Music & Radio Stations,0,293228,Music
Line Rider iRide?,1.99,21609,Entertainment
Deliveries: a package tracker,4.99,4684,Utilities
Hurricane Pro,2.99,2104,Weather
Fieldrunners,2.99,41633,Games
Juxtaposer,2.99,3610,Photo & Video
Deezer - Listen to your Favorite Music & Playlists,0,4677,Music
iStellar,3.99,30,Navigation
Sonos Controller,0,48905,Music
Avertinoo,4.99,32,Navigation
Google Earth,0,446185,Travel
iFart - The Original Fart Sounds App,1.99,21825,Entertainment
PAC-MAN,0,508808,Games
FOX Sports Mobile,0,57500,Sports
First Words Animals,1.99,2576,Games
WeatherPro,1.99,1572,Weather
HotSchedules,2.99,3292,Business
Star Walk - Find Stars And Planets in Sky Above,4.99,8932,Education
"The Weather Channel: Forecast, Radar & Alerts",0,495626,Weather
Big Day - Event Countdown,0.99,812,Lifestyle
12 Steps AA Companion - Alcoholics Anonymous,2.99,1583,Lifestyle
OpenTable - Restaurant Reservations,0,113936,Food & Drink
VLC Remote,4.99,2027,Entertainment
gFlashPro - Flashcards & Tests,3.99,768,Education
Lose It! – Weight Loss Program and Calorie Counter,0,373835,Health & Fitness
Target,0,108131,Shopping
Fish Tycoon,0.99,18943,Games
"Amazon App: shop, scan, compare, and read reviews",0,126312,Shopping
Touchgrind,4.99,35735,Games
ProPresenter Remote,4.99,410,Utilities
iReal Pro - Music Book & Play Along,12.99,1390,Music
NRJ Radio,0,38,Music
Chase Mobile?,0,233270,Finance
大辞林,21.99,64,Reference
Allrecipes Dinner Spinner,0,109349,Food & Drink
新浪新闻-阅读最新时事热门头条资讯视频,0,2229,News
MotionX GPS,1.99,14970,Navigation
AccuWeather - Weather for Life,0,144214,Weather
"Mint: Personal Finance, Budget, Bills & Money",0,232940,Finance
ABC News - US & World News + Live Video,0,48407,News
Rowmote: Remote Control for Mac,0.99,5531,Utilities
Peekaboo Barn,1.99,3393,Education
Speedtest by Ookla,0,65016,Utilities
Pocket God,0.99,187529,Entertainment
Nike+ Training Club - Workouts & Fitness Plans,0,33969,Health & Fitness
Citi Mobile?,0,48822,Finance
Phase 10 Pro - Play Your Friends!,1.99,59155,Games
"Kindle – Read eBooks, Magazines & Textbooks",0,252076,Book
MASH,1.99,4913,Games
同花顺-炒股、股票,0,1744,Finance
Wedding Dash Deluxe,0.99,16567,Games
Beer Pong Game,0,187315,Games
Tempo - Metronome with Setlists,2.99,4781,Music
Skat,3.99,94,Games
Color Splash,0.99,29554,Photo & Video
Zombieville USA,0.99,32988,Games
Skype for iPhone,0,373519,Social Networking
Tumblr,0,334293,Social Networking
iSwap Faces,1.99,2302,Photo & Video
Match? - #1 Dating App.,0,60659,Social Networking
Tozzle - Toddler's favorite puzzle,2.99,2562,Games
HomeBudget with Sync,4.99,3042,Finance
Wind Meter,0.99,338,Weather
Map My Run+ - GPS Running & Workout Tracker,2.99,16434,Health & Fitness
Map My Ride+ - GPS Cycling & Route Tracker,2.99,10046,Health & Fitness
"HuffPost - News, Politics & Entertainment",0,29107,News
Phrase Party!,1.99,878,Games
Minesweeper Classic,0.99,1140,Games
Sally's Spa,2.99,35074,Games
"CBS Sports App - Sports Scores, News, Stats, Watch",0,59639,Sports
Brain Wave ? - 32 Advanced Binaural Brainwave Entrainment Programs with iTunes Music and Relaxing Ambience,4.99,2913,Health & Fitness
iSwap Faces LITE,0,39722,Photo & Video
DIRECTV,0,81006,Entertainment
NYTimes Crossword - Daily Word Puzzle Game,0,53465,Games
Doodle Jump,0.99,395261,Games
LEDit – The LED Banner App,1.99,2021,Utilities
niconico,0,182,Entertainment
Fandango Movies - Times + Tickets,0,291787,Entertainment
iCab Mobile (Web Browser),1.99,2441,Utilities
iRagdoll - Ragdoll Physics,0.99,1372,Games
Proloquo2Go - Symbol-based AAC,249.99,773,Education
Dictionary.com Dictionary & Thesaurus,0,200047,Reference
20 Minutes.fr - l'actualité en continu,0,112,News
