ID,Name,Average User Rating,User Rating Count,Price,In-app Purchases,Age Rating,Languages,Size,Genres,Original Release Date,Current Version Release Date
284921427,Sudoku,4,3553,2.99,0,4+,"DA, NL, EN, FI, FR, DE, IT, JA, KO, NB, PL, PT, RU, ZH, ES, SV, ZH",15853568,Puzzle,11/07/2008,30/05/2017
284926400,Reversi,3.5,284,1.99,0,4+,EN,12328960,Board,11/07/2008,17/05/2018
284946595,Morocco,3,8376,0,0,4+,EN,674816,Board,11/07/2008,5/09/2017
285755462,Sudoku (Free),3.5,190394,0,0,4+,"DA, NL, EN, FI, FR, DE, IT, JA, KO, NB, PL, PT, RU, ZH, ES, SV, ZH",21552128,Puzzle,23/07/2008,30/05/2017
285831220,Senet Deluxe,3.5,28,2.99,0,4+,"DA, NL, EN, FR, DE, EL, IT, JA, KO, NO, PT, RU, ZH, ES, SV",34689024,Board,18/07/2008,22/07/2018
286210009,Sudoku - Classic number puzzle,3,47,0,1,4+,EN,48672768,Puzzle,30/07/2008,29/04/2019
286313771,Gravitation,2.5,35,0,0,4+,,6328320,Puzzle,30/07/2008,14/11/2013
286363959,Colony,2.5,125,0.99,0,4+,EN,64333824,Board,3/08/2008,3/10/2018
286566987,Carte,2.5,44,0,0,4+,FR,2657280,Board,3/08/2008,23/11/2017
286682679,"""Barrels O' Fun""",2.5,184,0,0,4+,EN,1466515,Casual,1/08/2008,1/08/2008
288096268,Lumen Lite,3.5,5072,0,0,4+,EN,7086403,Puzzle,18/08/2008,22/11/2008
288669794,BubblePop,3,526,0,0,4+,EN,845008,Unknown,22/08/2008,25/07/2009
288689440,Marple,3.5,989,0.99,0,4+,EN,3643392,Puzzle,28/08/2008,5/05/2019
288918962,Tetravex Lite,2.5,2358,0,0,4+,EN,731525,Puzzle,27/08/2008,21/10/2008
289217958,Awele/Oware - Mancala HD,3,112,0,1,4+,"EN, FR, DE, IT, ES",122826752,Board,31/08/2008,6/04/2015
289217958,Awele/Oware - Mancala HD,3,112,0,1,4+,"EN, FR, DE, IT, ES",122826752,Board,31/08/2008,6/04/2015
289382458,Chess Game,3,504,0,0,4+,EN,444163,Board,2/09/2008,7/10/2009
290493286,Catcha Mouse,3.5,95971,0,1,4+,EN,26820692,Puzzle,19/02/2009,26/04/2013
290614255,"Cool Sudoku, Jigsaw, Killer",3.5,357,0,1,4+,EN,52236288,Puzzle,24/09/2008,26/04/2019
291074572,Mind the Corners,3,7,0.99,0,4+,EN,1530880,Board,19/09/2008,26/10/2016
291723451,All You Can Eat,2,30,0.99,0,9+,EN,4341760,Casual,24/09/2008,16/03/2019
292242592,Boomshine,4,637,0.99,0,4+,EN,22873088,Puzzle,7/10/2008,20/05/2017
292274288,Gaia Lite,3.5,1563,0,0,4+,EN,6550985,Puzzle,2/10/2008,2/10/2008
292421271,Fieldrunners,4,41869,2.99,1,9+,EN,75041792,Action,5/10/2008,11/04/2018
292538570,Lux Touch 3 - World Domination,3.5,72428,0,0,9+,EN,55071744,Board,7/10/2008,23/01/2019
292975610,"""Don't Square""",2.5,190,0.99,0,4+,"EN, FR, DE, EL, PT, RU, ZH, ES",4357120,Board,12/10/2008,22/05/2019
294166538,Smart Rummy,2.5,69,2.99,0,4+,EN,44329984,Card,4/11/2008,5/12/2016
294193726,Expert Sudoku,4,523,2.99,0,4+,"DA, NL, EN, FI, FR, DE, IT, JA, KO, NB, PL, PT, RU, ZH, ES, SV, ZH",9543680,Puzzle,21/10/2008,30/05/2017
294596096,Edgewise,3.5,23,0,1,4+,EN,1298432,Card,25/10/2008,26/06/2015
294631172,Chess Genius,4,156,5.99,0,4+,"EN, FR, DE, IT, ES",1751040,Board,8/11/2008,5/08/2016
295445501,Chess - tChess Pro,4,3062,7.99,0,4+,"EN, FR, DE, JA, KO, ZH",7517184,Board,5/11/2008,7/04/2019
295462558,Toobz,3.5,2425,0.99,0,4+,EN,9641984,Puzzle,5/11/2008,13/09/2014
296183853,Color Sudoku,3.5,518,2.99,0,4+,"DA, NL, EN, FI, FR, DE, IT, JA, KO, NB, PL, PT, RU, ZH, ES, SV, ZH",15837184,Puzzle,14/11/2008,30/05/2017
296756437,Chess - tChess Lite,3.5,5488,0.99,0,4+,"EN, FR, DE, JA, KO, ZH",5874688,Board,15/11/2008,7/04/2019
296853351,Checkers Online Lite,2.5,3521,0,0,4+,EN,9402423,Board,29/11/2008,29/11/2008
297558390,TapDefense,3.5,273687,0,1,9+,EN,7774384,Simulation,24/11/2008,5/12/2012
297643414,Chinese Chess (Xiangqi),3,67,0.99,0,4+,EN,12423168,Board,24/11/2008,30/12/2014
298748403,Warfare Incorporated,3.5,5931,0,0,9+,EN,7705600,Action,4/12/2008,20/06/2019
298908505,Strategery,4,2798,1.99,0,4+,EN,15547392,Board,9/12/2008,17/06/2017
299139129,5x5 Shogi (MiniShogi) K55,4,16,2.99,0,4+,"EN, JA",3940352,Board,11/12/2008,25/09/2015
299471086,Deep Green Chess,4,483,7.99,0,4+,EN,99019776,Board,9/12/2008,28/01/2016
299631906,Jewel Lines,3,75,2.99,0,4+,EN,5731328,Puzzle,13/12/2008,29/08/2017
299813413,Lux DLX 3 - Map Conquest Game,4,5629,4.99,0,9+,"DA, NL, EN, FR, DE, IT, NO, NB, PT, ES, SV",93993984,Board,19/12/2008,26/03/2019
299878026,ChartFight SP,3,2482,0.99,0,4+,"NL, EN",14894080,Board,17/12/2008,16/10/2017
300025550,Robo Logic,3.5,77,0.99,0,4+,"EN, FR, DE, JA",5044648,Puzzle,15/12/2008,11/09/2009
300893278,RoboLogic Lite,3,1461,0,0,4+,"EN, DE",2584622,Puzzle,3/01/2009,28/08/2009
301163765,Kakinoki Shogi (Japanese Chess),4,75,4.99,0,4+,"EN, JA",18432000,Board,19/01/2009,24/09/2015
